id,host_id,neighbourhood_cleansed,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,bedrooms,beds,cancellation_policy,number_of_reviews,review_scores_accuracy
1066945,5870021,Coyoacan,Guest suite,Private room,2,725,2,365,1,1,strict_14_with_grace_period,143,10
1079898,1671446,Tlalpan,House,Private room,1,270,3,360,1,1,strict_14_with_grace_period,25,10
1087636,5975456,Coyoacan,Apartment,Private room,1,450,1,13,1,1,moderate,26,10
1107979,6083480,Iztapalapa,House,Private room,1,338,1,1125,1,1,flexible,0,
1125048,6171755,Benito Juarez,Apartment,Private room,2,2279,2,3,1,1,flexible,0,
1130658,6203086,Benito Juarez,Apartment,Entire home/apt,3,798,1,1125,2,2,moderate,14,10
1135302,6203086,Benito Juarez,Apartment,Private room,3,387,2,1125,1,1,moderate,7,10
1147080,727250,Tlalpan,Apartment,Private room,3,405,2,1125,2,2,moderate,1,10
1162686,6359246,Miguel Hidalgo,Apartment,Private room,1,2700,1,1125,1,,flexible,0,
1164876,212109,Coyoacan,House,Entire home/apt,6,4800,10,21,3,3,strict_14_with_grace_period,6,10
1167552,6393641,Cuauhtemoc,House,Private room,2,747,3,28,1,2,moderate,101,10
1170780,6409883,Benito Juarez,Apartment,Private room,2,476,3,1125,1,1,moderate,17,10
1187817,4326326,Cuauhtemoc,Apartment,Entire home/apt,3,815,180,360,1,1,strict_14_with_grace_period,50,10
1208312,6598890,Cuauhtemoc,Apartment,Private room,2,974,2,7,1,1,flexible,0,
1211383,212109,Coyoacan,House,Private room,2,889,5,21,1,0,strict_14_with_grace_period,20,10
1226234,6688806,Miguel Hidalgo,Apartment,Entire home/apt,4,2717,3,24,2,2,moderate,21,10
1233187,4079778,Coyoacan,Apartment,Private room,1,385,1,1125,1,1,flexible,2,10
1236668,5525131,Cuauhtemoc,Apartment,Entire home/apt,4,1811,6,1125,3,0,strict_14_with_grace_period,4,7
1240549,6762049,Cuauhtemoc,Apartment,Entire home/apt,4,1359,3,1125,1,1,moderate,7,10
